sickle_address,tx_hash,block_date,block_time,log_index,block_number,address,strategy,feeDescriptor,amount,token
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x5d7993245a8be3965d902da156ba95fc0ae849bc2a54c0936fd2a78718544c53,2025-01-05,2025-01-05 05:42:01.000 UTC,297,24633187,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,123623087328522,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd35687f646ef014129f4141f10e05723b1810b7d43cbc0d7b300d3aabd591cea,2025-03-20,2025-03-20 07:38:37.000 UTC,148,27833485,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0x3078D82a0833B7331dAaa7D9eeF79bE77bEb9539,e400534d,5784986976642116563,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0xf92e2e0c8a841ac26b7cbdefc27732a4f07c6105,0x1bde968f3fb533c35f2c7abce7ce4822a294924a838a5f10f5f06b2b37554891,2025-05-14,2025-05-14 03:48:53.000 UTC,93,30202593,0x8810De2bAa17067DdcfbD9e8f29c55f070A55f0B,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,e400534d,205384182777260444,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0xf92e2e0c8a841ac26b7cbdefc27732a4f07c6105,0x1bde968f3fb533c35f2c7abce7ce4822a294924a838a5f10f5f06b2b37554891,2025-05-14,2025-05-14 03:48:53.000 UTC,115,30202593,0x8810De2bAa17067DdcfbD9e8f29c55f070A55f0B,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,c552bcd8,9025958116505282827,0x1111111111166b7FE7bd91427724B487980aFc69
0xf92e2e0c8a841ac26b7cbdefc27732a4f07c6105,0x1bde968f3fb533c35f2c7abce7ce4822a294924a838a5f10f5f06b2b37554891,2025-05-14,2025-05-14 03:48:53.000 UTC,117,30202593,0x8810De2bAa17067DdcfbD9e8f29c55f070A55f0B,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,c552bcd8,90099,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913
0xe08c38abbdc260b14870ed4e40b6360e739adfb6,0xa2f045a29a25fa5c94a921d32e3d0ac45d18cced7e35191818512f9cd2be4e70,2025-01-04,2025-01-04 10:35:45.000 UTC,955,24598799,0x8fd1b615C006EBEb8A7cfB00a1dD809F31943b08,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,126063246639442,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xc5b809c46214fa59f625962b3783e23711da984414c090979043d3a2686e38d7,2024-12-30,2024-12-30 19:34:11.000 UTC,304,24398952,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,182558788680153,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd5585da475709d578f4b631874d8dbd5deec83bc19fa367f9029e86a42d120b3,2025-05-23,2025-05-23 19:51:41.000 UTC,486,30620277,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,ab273376,189960,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x1a0b0a4aedb64f16f9e60aab5c36b0260ea2ade9b4954f2bf9d0cd3341d16312,2025-03-08,2025-03-08 08:12:27.000 UTC,347,27316100,0x2791DC5E14F7680D9d969ACC26059ba56403B6d5,0x3078D82a0833B7331dAaa7D9eeF79bE77bEb9539,e400534d,1177650583381318024,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x193f68e3de310aaec669c31c0ae34b440fcf0aee9991c7c192ec54f267d53866,2025-05-15,2025-05-15 22:42:23.000 UTC,399,30279798,0x2791DC5E14F7680D9d969ACC26059ba56403B6d5,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,e400534d,355080249243058211,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xea3d2f4cee7dc32ff732829a474fdca886e9426400a783ec756a5d2dd14b0b01,2025-05-21,2025-05-21 06:41:35.000 UTC,128,30510174,0x8508FD4238162CB3F3d485F432202af3b40f164e,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,e400534d,1,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf
0xd38f4e03cb01685fcfc811f28b90bdcd222120ff,0xea3d2f4cee7dc32ff732829a474fdca886e9426400a783ec756a5d2dd14b0b01,2025-05-21,2025-05-21 06:41:35.000 UTC,220,30510174,0x8508FD4238162CB3F3d485F432202af3b40f164e,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,dfa64d37,936,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x1f9677cebbb89104a61079366d936fb5b6b1379eedcf3a03aa9e7d1340fb5958,2025-01-08,2025-01-08 12:57:23.000 UTC,444,24775848,0x2791DC5E14F7680D9d969ACC26059ba56403B6d5,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,136166569104982,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x3b614f0fb9d1bc08de56617a958006294e88082ee495563cb7a0ad8a82258cdb,2025-05-11,2025-05-11 04:19:53.000 UTC,120,30073923,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,ab273376,187264110156970,0x4200000000000000000000000000000000000006
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x388ab7949d876d0fb500094520a85386bf2b6f50887ccc4bff46da198bc35fff,2025-01-14,2025-01-14 21:18:21.000 UTC,153,25050077,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,30413067591759025,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x388ab7949d876d0fb500094520a85386bf2b6f50887ccc4bff46da198bc35fff,2025-01-14,2025-01-14 21:18:21.000 UTC,175,25050077,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,a7e26cbd,51112736166913,0x4200000000000000000000000000000000000006
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0x388ab7949d876d0fb500094520a85386bf2b6f50887ccc4bff46da198bc35fff,2025-01-14,2025-01-14 21:18:21.000 UTC,177,25050077,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,a7e26cbd,19403243868370396170,0xEb6d78148F001F3aA2f588997c5E102E489Ad341
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0xc03709db2e7c1496db54f4fdda948c182fbd9537c23d5f5b83f9b02c5299b1e2,2025-07-08,2025-07-08 04:59:37.000 UTC,42,32580715,0x9Eb86E93a809a41AB0e7cc0bA6F62561fdA3015c,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,e400534d,28423560435785449,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0xc03709db2e7c1496db54f4fdda948c182fbd9537c23d5f5b83f9b02c5299b1e2,2025-07-08,2025-07-08 04:59:37.000 UTC,55,32580715,0x9Eb86E93a809a41AB0e7cc0bA6F62561fdA3015c,0x1dCdbD5Be4BbB25B1EC3ffBD1cB733B712dCA4dd,ab273376,116,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf
0xe08c38abbdc260b14870ed4e40b6360e739adfb6,0x310d15ca028e8966c0a5303e7e58c032f044e4f3b9cf5fe5f858aaabffdc183c,2024-12-12,2024-12-12 02:35:25.000 UTC,591,23590789,0x8fd1b615C006EBEb8A7cfB00a1dD809F31943b08,0x0D980D465Ad0df076d57662035EE29C4708c7Ea4,e400534d,530411408776,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0xe08c38abbdc260b14870ed4e40b6360e739adfb6,0x310d15ca028e8966c0a5303e7e58c032f044e4f3b9cf5fe5f858aaabffdc183c,2024-12-12,2024-12-12 02:35:25.000 UTC,657,23590789,0x8fd1b615C006EBEb8A7cfB00a1dD809F31943b08,0x0D980D465Ad0df076d57662035EE29C4708c7Ea4,dfa64d37,413352269339862,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0xe7d1fcd08e4b9ade4f885fd945d1019f3170c346,0x0fa57eb7cce9d0ddb3a010939fffe40c4a6f41985a7df6a0bb3a32846cd50531,2025-01-03,2025-01-03 19:31:33.000 UTC,400,24571673,0x38F6D2d9Ea493c3C6Ee865B5b952B5Fe9E3e61Fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,129578570656594,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0x98c1b857dffe8be03ecbdc2644fa9aa8fec672ad798b9b0cb034aa11896fac33,2025-01-07,2025-01-07 02:40:13.000 UTC,224,24714133,0x9Eb86E93a809a41AB0e7cc0bA6F62561fdA3015c,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,20400656621521639,0x940181a94A35A4569E4529A3CDfB74e38FD98631
0x9c3ade0b6810b3319d378d3bbc73a804d5b7e064,0xd7b9417a3b0e8f747ee4ee1d823208ecd2b4b45faed46af71a13baf58cae710c,2025-01-04,2025-01-04 17:30:13.000 UTC,349,24611233,0xdC98DbFfcC648D6088a2FF8f7dC01AEf050E58fc,0xf6a1070fC1E76e9c6eBa3478F4b1CFA6081B7A30,e400534d,126419219721922,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x19187c4bafb15c9f484ebc469e1858c78908e2ac77e8a0fb78873ab963e01de0,2025-05-11,2025-05-11 00:51:43.000 UTC,172,30067678,0x2791DC5E14F7680D9d969ACC26059ba56403B6d5,0x5ce80ADc6bc6F2Db11023EF254160b61e86C2B60,ab273376,450000000000000000,0x940181a94A35A4569E4529A3CDfB74e38FD98631
