sickle_address,tx_hash,block_date,block_time,block_number,log_index,address,strategy,feeDescriptor,amount,token
0x512567df669706e650b7522dd809e03dd9a8af80,0x2a44562a5c625452f306925bc163393237a0281907b114c697873e00738fe04d,2025-08-03,2025-08-03 17:07:44.000 UTC,66506509,2,0x68859B9EfA5ad5569822Ab028bfDaeE39842031E,0x96C64D2F4709355033130C92e70F8aAE36F3FA1B,ab273376,108429816318589486763,0x6Aa38eDd7f32a28b7b2c2dc86fC5b0bF2aE61579
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0xeab669025f6eb8ab48c00190c999f03abc82d155d0d8285e7db1af681c3f8150,2025-08-10,2025-08-10 05:01:58.000 UTC,66842092,4,0x06aA8Bd90ce33Cc60370c74Cc43c7D4fD508AbbD,0x4b7C6f757b6A62c9359eeaef9a7097e0B70cb202,e400534d,19610170869686,0xcd94a87696FAC69Edae3a70fE5725307Ae1c43f6
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0xeab669025f6eb8ab48c00190c999f03abc82d155d0d8285e7db1af681c3f8150,2025-08-10,2025-08-10 05:01:58.000 UTC,66842092,12,0x06aA8Bd90ce33Cc60370c74Cc43c7D4fD508AbbD,0x4b7C6f757b6A62c9359eeaef9a7097e0B70cb202,ab273376,150383,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7
0x5bd24c33e56aadfdb0aa7e0be49e1e2512af96be,0x7ccd3780281cf1e6223ca5ea24abf97ec9d01387a185f9af5e9d7defc5a6eb51,2025-08-24,2025-08-24 04:33:51.000 UTC,67550114,4,0x06aA8Bd90ce33Cc60370c74Cc43c7D4fD508AbbD,0x4b7C6f757b6A62c9359eeaef9a7097e0B70cb202,e400534d,66143457340603818,0xcd94a87696FAC69Edae3a70fE5725307Ae1c43f6
0x2173fe72e185696b1ef348e7289594b3a7f4ad2c,0x3990890fc1a7880da9db631d43c2e37346e3d1238e3d2ea54827a5b9f364bbf2,2025-08-31,2025-08-31 22:52:51.000 UTC,67958676,4,0x1c829a09EC10e3eA4D44797Ca315039cec6Ce903,0xAB2ee5770bEccE48Cd5c18b92C9Bae317A3518be,e400534d,52231946210635507,0xcd94a87696FAC69Edae3a70fE5725307Ae1c43f6
0x2173fe72e185696b1ef348e7289594b3a7f4ad2c,0x3990890fc1a7880da9db631d43c2e37346e3d1238e3d2ea54827a5b9f364bbf2,2025-08-31,2025-08-31 22:52:51.000 UTC,67958676,18,0x1c829a09EC10e3eA4D44797Ca315039cec6Ce903,0xAB2ee5770bEccE48Cd5c18b92C9Bae317A3518be,cb922c4d,70088,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7
0x2173fe72e185696b1ef348e7289594b3a7f4ad2c,0x3990890fc1a7880da9db631d43c2e37346e3d1238e3d2ea54827a5b9f364bbf2,2025-08-31,2025-08-31 22:52:51.000 UTC,67958676,20,0x1c829a09EC10e3eA4D44797Ca315039cec6Ce903,0xAB2ee5770bEccE48Cd5c18b92C9Bae317A3518be,cb922c4d,451043,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x24eb3ec363ae272b75621fc85ed7342521d6116215ff9ca9254a648a03f84cd9,2025-03-09,2025-03-09 08:35:57.000 UTC,58453645,18,0xfD15DD0929ED2394D5F8c989247F4663981f59c2,0xf3442bB9F63d35e668Dde0aBf61b7F716156D204,e400534d,615227718774,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x24eb3ec363ae272b75621fc85ed7342521d6116215ff9ca9254a648a03f84cd9,2025-03-09,2025-03-09 08:35:57.000 UTC,58453645,54,0xfD15DD0929ED2394D5F8c989247F4663981f59c2,0xf3442bB9F63d35e668Dde0aBf61b7F716156D204,dfa64d37,944522471555507,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE
0x1f4d710f4ba62bd2fd17b1ef042a149dea3d3f82,0x543a428b9356b266dc5d48cccf8cffcc5c12d4e13a26ebd76b67af5d125fb091,2025-03-09,2025-03-09 22:51:47.000 UTC,58484145,13,0xfD15DD0929ED2394D5F8c989247F4663981f59c2,0xf3442bB9F63d35e668Dde0aBf61b7F716156D204,e400534d,103089930890,0xAAAB9D12A30504559b0C5a9A5977fEE4A6081c6b
